	Position	Player	Score	Today	Thru	R1	R2	R3	R4	Total
0	1	Russell Henley	-8	-8	4:48 PM	64	--	--	--	64
1	T2	Jake Knapp	-7	-7	5:40 PM*	65	--	--	--	65
2	T2	Justin Rose	-7	-7	5:53 PM*	65	--	--	--	65
3	T2	Cam Davis	-7	-7	6:06 PM*	65	--	--	--	65
4	T2	Sepp Straka	-7	-7	5:14 PM*	65	--	--	--	65
5	T2	Rasmus Højgaard	-7	-7	5:27 PM	65	--	--	--	65
6	T2	Viktor Hovland	-7	-7	5:27 PM	65	--	--	--	65
7	T8	Rory McIlroy	-6	-6	5:53 PM*	66	--	--	--	66
8	T8	Eric Cole	-6	-6	5:53 PM	66	--	--	--	66
9	T8	Justin Thomas	-6	-6	6:32 PM*	66	--	--	--	66
10	T8	Lee Hodges	-6	-6	4:35 PM	66	--	--	--	66
11	T8	Patrick Cantlay	-6	-6	4:48 PM*	66	--	--	--	66
12	T8	Shane Lowry	-6	-6	5:01 PM*	66	--	--	--	66
13	T8	Lucas Glover	-6	-6	5:14 PM*	66	--	--	--	66
14	T15	Sam Stevens	-5	-5	5:40 PM	67	--	--	--	67
15	T15	Scottie Scheffler	-5	-5	6:06 PM*	67	--	--	--	67
16	T15	Austin Eckroat	-5	-5	6:06 PM	67	--	--	--	67
17	T15	Si Woo Kim	-5	-5	6:19 PM*	67	--	--	--	67
18	T15	Taylor Pendrith	-5	-5	6:19 PM*	67	--	--	--	67
19	T15	Erik van Rooyen	-5	-5	6:32 PM	67	--	--	--	67
20	T15	Sahith Theegala	-5	-5	5:01 PM	67	--	--	--	67
21	T15	Tony Finau	-5	-5	5:14 PM	67	--	--	--	67
22	T23	Maverick McNealy	-4	-4	5:40 PM	68	--	--	--	68
23	T23	Harris English	-4	-4	5:53 PM	68	--	--	--	68
24	T23	Tom Hoge	-4	-4	5:53 PM*	68	--	--	--	68
25	T23	Matthieu Pavon	-4	-4	5:53 PM	68	--	--	--	68
26	T23	Sungjae Im	-4	-4	6:06 PM	68	--	--	--	68
27	T23	Christiaan Bezuidenhout	-4	-4	6:19 PM	68	--	--	--	68
28	T23	Mackenzie Hughes	-4	-4	6:32 PM*	68	--	--	--	68
29	T23	Nick Taylor	-4	-4	4:35 PM	68	--	--	--	68
30	T23	Gary Woodland	-4	-4	4:48 PM*	68	--	--	--	68
31	T23	Sam Burns	-4	-4	4:48 PM	68	--	--	--	68
32	T23	Robert MacIntyre	-4	-4	4:48 PM*	68	--	--	--	68
33	T23	Stephan Jaeger	-4	-4	5:14 PM*	68	--	--	--	68
34	T23	Rickie Fowler	-4	-4	5:27 PM	68	--	--	--	68
35	T36	Collin Morikawa	-3	-3	5:40 PM*	69	--	--	--	69
36	T36	Nico Echavarria	-3	-3	5:40 PM	69	--	--	--	69
37	T36	Tom Kim	-3	-3	5:40 PM*	69	--	--	--	69
38	T36	Thomas Detry	-3	-3	6:06 PM*	69	--	--	--	69
39	T36	Davis Thompson	-3	-3	6:06 PM	69	--	--	--	69
40	T36	Akshay Bhatia	-3	-3	6:19 PM	69	--	--	--	69
41	T36	Séamus Power	-3	-3	6:32 PM*	69	--	--	--	69
42	T36	Mark Hubbard	-3	-3	6:32 PM	69	--	--	--	69
43	T36	Ben Griffin	-3	-3	6:32 PM	69	--	--	--	69
44	T36	J.T. Poston	-3	-3	4:48 PM	69	--	--	--	69
45	T36	Chris Kirk	-3	-3	5:01 PM*	69	--	--	--	69
46	T36	Aaron Rai	-3	-3	5:01 PM*	69	--	--	--	69
47	T36	Nick Dunlap	-3	-3	5:01 PM	69	--	--	--	69
48	T36	Justin Lower	-3	-3	5:27 PM*	69	--	--	--	69
49	T36	Andrew Novak	-3	-3	5:27 PM*	69	--	--	--	69
50	T36	Min Woo Lee	-3	-3	5:27 PM	69	--	--	--	69
51	T52	Corey Conners	-2	-2	6:06 PM	70	--	--	--	70
52	T52	Jordan Spieth	-2	-2	6:32 PM*	70	--	--	--	70
53	T52	Jhonattan Vegas	-2	-2	4:35 PM*	70	--	--	--	70
54	T52	J.J. Spaun	-2	-2	4:35 PM	70	--	--	--	70
55	T52	Max Greyserman	-2	-2	4:48 PM	70	--	--	--	70
56	T52	Patrick Rodgers	-2	-2	5:01 PM	70	--	--	--	70
57	T52	Will Zalatoris	-2	-2	5:01 PM*	70	--	--	--	70
58	T52	Jason Day	-2	-2	5:14 PM	70	--	--	--	70
59	T52	Hideki Matsuyama	-2	-2	5:14 PM*	70	--	--	--	70
60	T61	Harry Hall	-1	-1	5:40 PM	71	--	--	--	71
61	T61	Byeong Hun An	-1	-1	5:53 PM	71	--	--	--	71
62	T61	Brian Harman	-1	-1	6:06 PM*	71	--	--	--	71
63	T61	Tommy Fleetwood	-1	-1	6:19 PM*	71	--	--	--	71
64	T61	Keith Mitchell	-1	-1	4:35 PM*	71	--	--	--	71
65	T61	Denny McCarthy	-1	-1	4:35 PM*	71	--	--	--	71
66	T61	Kevin Yu	-1	-1	4:35 PM*	71	--	--	--	71
67	T61	Max Homa	-1	-1	5:14 PM	71	--	--	--	71
68	T69	Beau Hossler	E	E	5:40 PM*	72	--	--	--	72
69	T69	Keegan Bradley	E	E	6:19 PM*	72	--	--	--	72
70	T69	Adam Hadwin	E	E	5:14 PM	72	--	--	--	72
71	T69	Billy Horschel	E	E	5:27 PM*	72	--	--	--	72
72	T73	Matt Fitzpatrick	+1	+1	6:19 PM	73	--	--	--	73
73	T73	Cameron Young	+1	+1	6:19 PM	73	--	--	--	73
74	T73	Taylor Moore	+1	+1	6:32 PM	73	--	--	--	73
75	T73	Doug Ghim	+1	+1	4:35 PM	73	--	--	--	73
76	T77	Adam Scott	+2	+2	4:48 PM*	74	--	--	--	74
77	T77	Wyndham Clark	+2	+2	5:01 PM	74	--	--	--	74
78	79	Brendon Todd	+3	+3	5:27 PM*	75	--	--	--	75
79	80	Ludvig Åberg	+5	+5	5:53 PM*	77	--	--	--	77
